имя файла,архитектура модели,результат,уверенность модели
150447.jpg,resnet18,Дефектный,1.0000
150452d.jpg,resnet18,Дефектный,1.0000
150454.jpg,resnet18,Дефектный,0.9999
150458.jpg,resnet18,Дефектный,1.0000
150460.jpg,resnet18,Дефектный,0.9999
150462.jpg,resnet18,Дефектный,1.0000
150465.jpg,resnet18,Дефектный,0.9999
150469.jpg,resnet18,Дефектный,1.0000
150472.jpg,resnet18,Дефектный,1.0000
150473.jpg,resnet18,Дефектный,1.0000
150476.jpg,resnet18,Дефектный,1.0000
150477.jpg,resnet18,Дефектный,1.0000
150480.jpg,resnet18,Дефектный,0.9999
150491.jpg,resnet18,Дефектный,1.0000
150500.jpg,resnet18,Дефектный,1.0000
150525.jpg,resnet18,Дефектный,1.0000
150526.jpg,resnet18,Дефектный,1.0000
150598.jpg,resnet18,Дефектный,1.0000
150606.jpg,resnet18,Дефектный,1.0000
150631.jpg,resnet18,Дефектный,1.0000
150633.jpg,resnet18,Дефектный,1.0000
150677.jpg,resnet18,Дефектный,1.0000
150696.jpg,resnet18,Дефектный,1.0000
150707.jpg,resnet18,Дефектный,1.0000
150711h.jpg,resnet18,Дефектный,1.0000
15072d.jpg,resnet18,Дефектный,1.0000
150730.jpg,resnet18,Дефектный,1.0000
150731.jpg,resnet18,Дефектный,1.0000
150732.jpg,resnet18,Дефектный,0.9999
15073d.jpg,resnet18,Дефектный,1.0000
150760.jpg,resnet18,Дефектный,1.0000
150776.jpg,resnet18,Дефектный,1.0000
150800.jpg,resnet18,Дефектный,1.0000
150814d.jpg,resnet18,Дефектный,1.0000
150815d.jpg,resnet18,Дефектный,1.0000
150820.jpg,resnet18,Дефектный,1.0000
150839.jpg,resnet18,Дефектный,1.0000
150843.jpg,resnet18,Дефектный,1.0000
150864h.jpg,resnet18,Дефектный,1.0000
150867.jpg,resnet18,Дефектный,1.0000
150878.jpg,resnet18,Дефектный,1.0000
150879.jpg,resnet18,Дефектный,1.0000
150907d.jpg,resnet18,Дефектный,1.0000
150915.jpg,resnet18,Дефектный,1.0000
150949.jpg,resnet18,Дефектный,0.9999
150950.jpg,resnet18,Дефектный,1.0000
150951.jpg,resnet18,Дефектный,1.0000
150952.jpg,resnet18,Дефектный,1.0000
151191.jpg,resnet18,Дефектный,1.0000
151368.jpg,resnet18,Дефектный,0.9999
151397.jpg,resnet18,Дефектный,1.0000
151401.jpg,resnet18,Дефектный,0.9999
160028.jpg,resnet18,Дефектный,1.0000
160029.jpg,resnet18,Дефектный,1.0000
160036d.jpg,resnet18,Дефектный,1.0000
160041.jpg,resnet18,Дефектный,1.0000
160046.jpg,resnet18,Дефектный,1.0000
160047.jpg,resnet18,Дефектный,1.0000
160081.jpg,resnet18,Дефектный,1.0000
160096.jpg,resnet18,Дефектный,1.0000
160164.jpg,resnet18,Дефектный,0.9999
160165.jpg,resnet18,Дефектный,1.0000
160169.jpg,resnet18,Дефектный,0.9999
160175.jpg,resnet18,Дефектный,0.9999
160190.jpg,resnet18,Дефектный,0.9999
160376.jpg,resnet18,Дефектный,1.0000
160407.jpg,resnet18,Дефектный,0.9999
160408.jpg,resnet18,Дефектный,1.0000
160435.jpg,resnet18,Дефектный,1.0000
160437.jpg,resnet18,Дефектный,1.0000
160438.jpg,resnet18,Дефектный,1.0000
160440.jpg,resnet18,Дефектный,1.0000
160442d.jpg,resnet18,Дефектный,1.0000
160454.jpg,resnet18,Дефектный,1.0000
160507.jpg,resnet18,Дефектный,1.0000
160516.jpg,resnet18,Дефектный,0.9999
160538.jpg,resnet18,Дефектный,1.0000
160559.jpg,resnet18,Дефектный,1.0000
160605.jpg,resnet18,Дефектный,1.0000
160623.jpg,resnet18,Дефектный,1.0000
160643d.jpg,resnet18,Дефектный,1.0000
160647.jpg,resnet18,Дефектный,1.0000
160648.jpg,resnet18,Дефектный,1.0000
16064d.jpg,resnet18,Дефектный,1.0000
160673.jpg,resnet18,Дефектный,1.0000
160674.jpg,resnet18,Дефектный,1.0000
160693.jpg,resnet18,Дефектный,1.0000
160705.jpg,resnet18,Дефектный,1.0000
160716.jpg,resnet18,Дефектный,1.0000
160730.jpg,resnet18,Дефектный,1.0000
160731.jpg,resnet18,Дефектный,1.0000
160771.jpg,resnet18,Дефектный,1.0000
160777.jpg,resnet18,Дефектный,1.0000
160778.jpg,resnet18,Дефектный,1.0000
160782.jpg,resnet18,Дефектный,0.9999
160785d.jpg,resnet18,Дефектный,1.0000
160786.jpg,resnet18,Дефектный,0.9999
160840.jpg,resnet18,Дефектный,1.0000
160842.jpg,resnet18,Дефектный,1.0000
160851.jpg,resnet18,Дефектный,1.0000
160852.jpg,resnet18,Дефектный,0.9999
160873A.jpg,resnet18,Дефектный,1.0000
160896.jpg,resnet18,Дефектный,1.0000
160926d.jpg,resnet18,Дефектный,1.0000
160935.jpg,resnet18,Дефектный,1.0000
160936.jpg,resnet18,Дефектный,1.0000
161020d.jpg,resnet18,Дефектный,1.0000
161030d.jpg,resnet18,Дефектный,1.0000
161034.jpg,resnet18,Дефектный,1.0000
161036d.jpg,resnet18,Дефектный,1.0000
161056.jpg,resnet18,Дефектный,1.0000
161057d.jpg,resnet18,Дефектный,1.0000
161061h.jpg,resnet18,Дефектный,1.0000
161062.jpg,resnet18,Дефектный,1.0000
161068.jpg,resnet18,Дефектный,1.0000
161088.jpg,resnet18,Дефектный,1.0000
161099.jpg,resnet18,Дефектный,1.0000
161121d.jpg,resnet18,Дефектный,1.0000
161134d.jpg,resnet18,Дефектный,1.0000
161177.jpg,resnet18,Дефектный,1.0000
161178.jpg,resnet18,Дефектный,1.0000
161200.jpg,resnet18,Дефектный,1.0000
161211.jpg,resnet18,Дефектный,1.0000
161212.jpg,resnet18,Дефектный,1.0000
161213.jpg,resnet18,Дефектный,1.0000
161219d.jpg,resnet18,Дефектный,1.0000
161234.jpg,resnet18,Дефектный,1.0000
161235.jpg,resnet18,Дефектный,1.0000
161236.jpg,resnet18,Дефектный,1.0000
161237.jpg,resnet18,Дефектный,1.0000
161244.jpg,resnet18,Дефектный,1.0000
161245d.jpg,resnet18,Дефектный,1.0000
161268.jpg,resnet18,Дефектный,1.0000
161276.jpg,resnet18,Дефектный,1.0000
161283.jpg,resnet18,Дефектный,1.0000
161312.jpg,resnet18,Дефектный,1.0000
161314.jpg,resnet18,Дефектный,1.0000
161315.jpg,resnet18,Дефектный,0.9999
161338.jpg,resnet18,Дефектный,0.9999
161355h.jpg,resnet18,Дефектный,1.0000
161388.jpg,resnet18,Дефектный,1.0000
161396.jpg,resnet18,Дефектный,1.0000
161397.jpg,resnet18,Дефектный,1.0000
161409.jpg,resnet18,Дефектный,1.0000
161410.jpg,resnet18,Дефектный,1.0000
161423d.jpg,resnet18,Дефектный,0.9999
161436.jpg,resnet18,Дефектный,1.0000
161437.jpg,resnet18,Дефектный,1.0000
161439.jpg,resnet18,Дефектный,1.0000
161461.jpg,resnet18,Дефектный,1.0000
161466d.jpg,resnet18,Дефектный,0.9999
161490.jpg,resnet18,Дефектный,1.0000
161500.jpg,resnet18,Дефектный,0.9999
161502.jpg,resnet18,Дефектный,0.9999
161507.jpg,resnet18,Дефектный,0.9974
161510.jpg,resnet18,Дефектный,1.0000
161515.jpg,resnet18,Дефектный,1.0000
161516.jpg,resnet18,Дефектный,1.0000
170002.jpg,resnet18,Дефектный,1.0000
170007d.jpg,resnet18,Дефектный,1.0000
170013.jpg,resnet18,Дефектный,1.0000
170029.jpg,resnet18,Дефектный,0.9999
170030.jpg,resnet18,Дефектный,0.9999
170031.jpg,resnet18,Дефектный,1.0000
170032.jpg,resnet18,Дефектный,0.9999
170037.jpg,resnet18,Дефектный,1.0000
170039.jpg,resnet18,Дефектный,0.9999
170040.jpg,resnet18,Дефектный,1.0000
170041d.jpg,resnet18,Дефектный,1.0000
170042.jpg,resnet18,Дефектный,1.0000
170046.jpg,resnet18,Дефектный,0.9999
170058d.jpg,resnet18,Дефектный,0.9999
170059.jpg,resnet18,Дефектный,1.0000
170061.jpg,resnet18,Дефектный,1.0000
170062d.jpg,resnet18,Дефектный,1.0000
170063.jpg,resnet18,Дефектный,0.9999
170068.jpg,resnet18,Дефектный,1.0000
170070.jpg,resnet18,Дефектный,1.0000
170071.jpg,resnet18,Дефектный,0.9999
170079.jpg,resnet18,Дефектный,0.9999
170080.jpg,resnet18,Дефектный,0.9999
170082d.jpg,resnet18,Дефектный,0.9999
170087d.jpg,resnet18,Дефектный,0.9999
170088d.jpg,resnet18,Дефектный,0.9999
170090.jpg,resnet18,Дефектный,1.0000
170095.jpg,resnet18,Дефектный,0.9999
170097.jpg,resnet18,Дефектный,1.0000
170099.jpg,resnet18,Дефектный,1.0000
170103.jpg,resnet18,Дефектный,0.9999
170115.jpg,resnet18,Дефектный,0.9999
170124.jpg,resnet18,Дефектный,0.9999
170125.jpg,resnet18,Дефектный,1.0000
170127.jpg,resnet18,Дефектный,1.0000
170128.jpg,resnet18,Дефектный,0.9999
